bioguide,name,chamber,party,state,district,industry_labels,policy_topics,committees,subcommittees,official_url
A000370,Alma S. Adams,House,Democrat,NC,12,"[""Agriculture"", ""Animal health"", ""Animal nutrition"", ""Biotechnology"", ""Broad commodities"", ""Farm supplies"", ""Food brands"", ""Packaged foods""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Agricultural trade"", ""Conservation"", ""Food policy"", ""Nutrition policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on Education and Workforce""]","[""Conservation, Research, and Biotechnology"", ""Early Childhood, Elementary, and Secondary Education"", ""Higher Education and Workforce Development"", ""Nutrition and Foreign Agriculture""]",https://adams.house.gov
B001287,Ami Bera,House,Democrat,CA,6,"[""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""Cyber intelligence"", ""National security""]","[""House Committee on Foreign Affairs"", ""House Permanent Select Committee on Intelligence""]","[""East Asia and Pacific"", ""National Intelligence Enterprise"", ""National Security Agency and Cyber"", ""South and Central Asia""]",https://bera.house.gov
M001246,Analilia Mejia,House,Democrat,NJ,11,[],[],"[""House Committee on Homeland Security"", ""House Committee on Small Business""]","[""Border Security and Enforcement""]",https://mejia.house.gov
S001226,Andrea Salinas,House,Democrat,OR,6,"[""Aerospace systems"", ""Agriculture"", ""Animal nutrition"", ""Artificial intelligence"", ""Battery storage"", ""Broad commodities"", ""Clean energy"", ""Commercial aerospace"", ""Electric utilities"", ""Farm supplies"", ""Food brands"", ""Forestry"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Packaged foods"", ""Power generation"", ""Power transmission"", ""Satellite communications"", ""Semiconductors"", ""Solar energy"", ""Space launch"", ""Space systems"", ""Wind energy""]","[""Agricultural policy"", ""Agricultural trade"", ""Commercial space policy"", ""Energy infrastructure"", ""Energy regulation"", ""Energy research"", ""Food policy"", ""Forestry policy"", ""Grid reliability"", ""Horticulture policy"", ""NASA"", ""Nutrition policy"", ""Rural development"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Agriculture"", ""House Committee on Science, Space, and Technology""]","[""Energy"", ""Forestry and Horticulture"", ""Nutrition and Foreign Agriculture"", ""Space and Aeronautics""]",https://salinas.house.gov
O000175,Andrew Ogles,House,Republican,TN,5,"[""Asset management"", ""Banking"", ""Brokerage"", ""Cloud security"", ""Consumer finance"", ""Cybersecurity"", ""Electric-grid infrastructure"", ""Fintech"", ""Identity security"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Securities exchanges"", ""Telecom infrastructure""]","[""Capital markets regulation"", ""Critical infrastructure cybersecurity"", ""Financial regulation"", ""Homeland security""]","[""House Committee on Financial Services"", ""House Committee on Homeland Security""]","[""Border Security and Enforcement"", ""Capital Markets"", ""Cybersecurity and Infrastructure Protection"", ""National Security, Illicit Finance, and International Financial Institutions"", ""Oversight and Investigations"", ""Oversight, Investigations, and Accountability""]",https://ogles.house.gov
G000597,Andrew R. Garbarino,House,Republican,NY,2,"[""Asset management"", ""Banking"", ""Brokerage"", ""Consumer finance"", ""Fintech"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Mortgage technology"", ""Multifamily residential REIT"", ""Property & casualty insurance"", ""Residential real estate"", ""Securities exchanges""]","[""Capital markets regulation"", ""Financial regulation"", ""Housing finance"", ""Insurance regulation""]","[""House Committee on Ethics"", ""House Committee on Financial Services"", ""House Committee on Homeland Security""]","[""Capital Markets"", ""Housing and Insurance"", ""Oversight and Investigations""]",https://garbarino.house.gov
C001116,Andrew S. Clyde,House,Republican,GA,9,"[""Artificial intelligence"", ""Biotechnology"", ""Commercial aerospace"", ""Education services"", ""Health insurance"", ""Healthcare services"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals"", ""Space launch"", ""Space systems""]","[""Commerce policy"", ""Education appropriations"", ""Federal appropriations"", ""Health appropriations"", ""Labor policy"", ""Science funding"", ""Space policy"", ""Technology policy""]","[""House Committee on Appropriations"", ""House Committee on the Budget""]","[""Commerce, Justice, Science, and Related Agencies"", ""Labor, Health and Human Services, Education, and Related Agencies""]",https://clyde.house.gov
C001072,André Carson,House,Democrat,IN,7,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Satellite communications"", ""Space systems"", ""Transportation infrastructure""]","[""Aviation safety"", ""Classified intelligence"", ""Cyber intelligence"", ""FAA policy"", ""Hazardous materials"", ""Infrastructure policy"", ""National security"", ""Pipeline safety"", ""Rail safety"", ""Transportation policy""]","[""House Committee on Transportation and Infrastructure"", ""House Permanent Select Committee on Intelligence"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Aviation"", ""Railroads, Pipelines, and Hazardous Materials""]",https://carson.house.gov
B001282,Andy Barr,House,Republican,KY,6,"[""Asset management"", ""Banking"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges""]","[""Bank regulation"", ""Consumer financial protection"", ""Financial regulation""]","[""House Committee on Financial Services"", ""House Committee on Foreign Affairs"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""East Asia and Pacific"", ""Financial Institutions"", ""National Security, Illicit Finance, and International Financial Institutions""]",https://barr.house.gov
B001302,Andy Biggs,House,Republican,AZ,5,[],[],"[""House Committee on Oversight and Government Reform"", ""House Committee on the Judiciary""]","[""Crime and Federal Government Surveillance"", ""Federal Law Enforcement"", ""Immigration Integrity, Security, and Enforcement"", ""Military and Foreign Affairs""]",https://biggs.house.gov
H001052,Andy Harris,House,Republican,MD,1,"[""Agriculture"", ""Biotechnology"", ""Education services"", ""Health insurance"", ""Healthcare services"", ""Medical devices"", ""Medical diagnostics"", ""Packaged foods"", ""Pharmaceuticals""]","[""Agricultural appropriations"", ""Education appropriations"", ""FDA appropriations"", ""Federal appropriations"", ""Health appropriations"", ""Labor policy""]","[""House Committee on Appropriations""]","[""Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"", ""Labor, Health and Human Services, Education, and Related Agencies""]",https://harris.house.gov
C001119,Angie Craig,House,Democrat,MN,2,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Farm supplies"", ""Packaged foods""]","[""Agricultural policy"", ""Food policy"", ""Rural development""]","[""House Committee on Agriculture""]",[],https://craig.house.gov
W000812,Ann Wagner,House,Republican,MO,2,"[""Asset management"", ""Banking"", ""Brokerage"", ""Consumer finance"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Fintech"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Satellite communications"", ""Securities exchanges"", ""Space systems""]","[""Capital markets regulation"", ""Classified intelligence"", ""Cyber intelligence"", ""Financial regulation"", ""National security""]","[""House Committee on Financial Services"", ""House Permanent Select Committee on Intelligence""]","[""Capital Markets"", ""National Intelligence Enterprise"", ""Open Source Intelligence"", ""Oversight and Investigations""]",https://wagner.house.gov
L000596,Anna Paulina Luna,House,Republican,FL,13,[],[],"[""House Committee on Foreign Affairs"", ""House Committee on Oversight and Government Reform""]","[""Cybersecurity, Information Technology, and Government Innovation"", ""Delivering on Government Efficiency"", ""Europe"", ""Health Care and Financial Services"", ""Military and Foreign Affairs"", ""Oversight and Intelligence""]",https://luna.house.gov
M001232,April McClain Delaney,House,Democrat,MD,6,"[""Advanced materials"", ""Agriculture"", ""Animal health"", ""Animal nutrition"", ""Artificial intelligence"", ""Biotechnology"", ""Broad commodities"", ""Commercial aerospace"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Futures-based commodity exposure"", ""Packaged foods"", ""Quantum technology"", ""Robotics & AI"", ""Semiconductors"", ""Space launch"", ""Space systems""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Commodity markets"", ""Conservation"", ""Digital asset policy"", ""Emerging technology"", ""Federal R&D"", ""Food policy"", ""Rural development"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Agriculture"", ""House Committee on Science, Space, and Technology""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Conservation, Research, and Biotechnology"", ""Research and Technology""]",https://mcclaindelaney.house.gov
H001091,Ashley Hinson,House,Republican,IA,2,"[""Agriculture"", ""Asset management"", ""Banking"", ""Biotechnology"", ""Consumer finance"", ""Cybersecurity"", ""Defense communications"", ""Defense technology"", ""Fintech"", ""Insurance"", ""Medical devices"", ""Medical diagnostics"", ""Packaged foods"", ""Pharmaceuticals"", ""Securities exchanges""]","[""Agricultural appropriations"", ""Border security"", ""FDA appropriations"", ""Federal appropriations"", ""Financial regulation appropriations"", ""Homeland security appropriations""]","[""House Committee on Appropriations"", ""House Committee on Ethics"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"", ""Financial Services and General Government"", ""Homeland Security""]",https://hinson.house.gov
P000048,August Pfluger,House,Republican,TX,11,"[""Battery storage"", ""Broadband & cable"", ""Digital media"", ""Electric utilities"", ""Environmental services"", ""Fiber broadband"", ""Hazardous-waste services"", ""Hydrogen energy"", ""Industrial pollution control"", ""Integrated oil & gas"", ""Natural-gas exploration & production"", ""Networking equipment"", ""Nuclear power"", ""Oil & gas pipelines"", ""Power generation"", ""Power transmission"", ""Satellite communications"", ""Solar energy"", ""Specialty chemicals"", ""Telecommunications"", ""Waste disposal"", ""Water treatment"", ""Wind energy"", ""Wireless telecommunications""]","[""Air quality"", ""Broadband policy"", ""Chemical regulation"", ""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""Environmental regulation"", ""Grid reliability"", ""Interstate commerce"", ""Public health"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation""]","[""House Committee on Energy and Commerce"", ""House Committee on Homeland Security""]","[""Communications and Technology"", ""Counterterrorism and Intelligence"", ""Energy"", ""Environment""]",https://pfluger.house.gov
R000600,Aumua Amata Coleman Radewagen,House,Republican,AS,0,"[""Forestry"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Specialty minerals"", ""Water infrastructure"", ""Water utilities""]","[""Fisheries"", ""Natural resources policy"", ""Public lands"", ""Water policy"", ""Wildlife""]","[""House Committee on Foreign Affairs"", ""House Committee on Natural Resources"", ""House Committee on Veterans' Affairs""]","[""Africa"", ""Disability Assistance and Memorial Affairs"", ""East Asia and Pacific"", ""Indian and Insular Affairs"", ""Oversight and Investigations"", ""Water, Wildlife and Fisheries""]",https://radewagen.house.gov
S001189,Austin Scott,House,Republican,GA,8,"[""Aerospace & defense"", ""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Commercial banking"", ""Cryptocurrency exchange"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Food brands"", ""Futures-based commodity exposure"", ""Logistics"", ""Military systems"", ""Packaged foods"", ""Risk management"", ""Satellite communications"", ""Space systems""]","[""Agricultural policy"", ""Agricultural risk management"", ""Agricultural trade"", ""Classified intelligence"", ""Commodity markets"", ""Cyber intelligence"", ""Defense logistics"", ""Digital asset policy"", ""Farm credit"", ""Food policy"", ""Military intelligence"", ""Military procurement"", ""Military readiness"", ""National defense"", ""National security"", ""Nutrition policy"", ""Rural development"", ""Special operations""]","[""House Committee on Agriculture"", ""House Committee on Armed Services"", ""House Committee on Rules"", ""House Permanent Select Committee on Intelligence""]","[""Central Intelligence Agency"", ""Commodity Markets, Digital Assets, and Rural Development"", ""General Farm Commodities, Risk Management, and Credit"", ""Intelligence and Special Operations"", ""National Intelligence Enterprise"", ""National Security Agency and Cyber"", ""Nutrition and Foreign Agriculture"", ""Readiness"", ""Rules and Organization of the House""]",https://austinscott.house.gov
P000617,Ayanna Pressley,House,Democrat,MA,7,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Consumer finance"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Mortgage technology"", ""Multifamily residential REIT"", ""Property & casualty insurance"", ""Residential real estate"", ""Securities exchanges""]","[""AI in financial services"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy"", ""Housing finance"", ""Insurance regulation""]","[""House Committee on Financial Services"", ""House Committee on Oversight and Government Reform""]","[""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Housing and Insurance""]",https://pressley.house.gov
L000583,Barry Loudermilk,House,Republican,GA,11,"[""Asset management"", ""Banking"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges""]","[""Bank regulation"", ""Consumer financial protection"", ""Financial regulation""]","[""House Committee on Financial Services"", ""House Committee on House Administration"", ""House Select Subcommittee to Investigate the Remaining Questions Surrounding January 6, 2021""]","[""Elections"", ""Financial Institutions"", ""Oversight and Investigations""]",https://loudermilk.house.gov
M001212,Barry Moore,House,Republican,AL,1,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Commercial banking"", ""Farm supplies"", ""Forestry"", ""Livestock health"", ""Packaged foods"", ""Risk management""]","[""Agricultural policy"", ""Agricultural risk management"", ""Dairy policy"", ""Farm credit"", ""Food policy"", ""Forestry policy"", ""Horticulture policy"", ""Livestock policy"", ""Poultry policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on the Judiciary""]","[""Crime and Federal Government Surveillance"", ""Forestry and Horticulture"", ""General Farm Commodities, Risk Management, and Credit"", ""Immigration Integrity, Security, and Enforcement"", ""Livestock, Dairy, and Poultry"", ""Oversight""]",https://barrymoore.house.gov
B001318,Becca Balint,House,Democrat,VT,0,[],[],"[""House Committee on the Budget"", ""House Committee on the Judiciary""]","[""The Administrative State, Regulatory Reform, and Antitrust"", ""The Constitution and Limited Government""]",https://balint.house.gov
C001118,Ben Cline,House,Republican,VA,6,"[""Agriculture"", ""Artificial intelligence"", ""Biotechnology"", ""Cloud computing"", ""Commercial aerospace"", ""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Digital advertising"", ""Enterprise software"", ""Medical devices"", ""Medical diagnostics"", ""Packaged foods"", ""Pharmaceuticals"", ""Satellite communications"", ""Semiconductors"", ""Social media"", ""Space launch"", ""Space systems""]","[""AI policy"", ""Agricultural appropriations"", ""Classified intelligence"", ""Commerce policy"", ""Cyber intelligence"", ""FDA appropriations"", ""Federal appropriations"", ""Intellectual property"", ""Internet policy"", ""National security"", ""Science funding"", ""Space policy"", ""Technology policy""]","[""House Committee on Appropriations"", ""House Committee on the Budget"", ""House Committee on the Judiciary"", ""House Permanent Select Committee on Intelligence""]","[""Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"", ""Commerce, Justice, Science, and Related Agencies"", ""Courts, Intellectual Property, Artificial Intelligence, and the Internet"", ""Defense Intelligence and Overhead Architecture"", ""National Security Agency and Cyber"", ""The Administrative State, Regulatory Reform, and Antitrust""]",https://cline.house.gov
T000193,Bennie G. Thompson,House,Democrat,MS,2,[],[],"[""House Committee on Homeland Security""]",[],https://benniethompson.house.gov
V000134,Beth Van Duyne,House,Republican,TX,24,[],"[""Customs"", ""Tariffs"", ""Trade policy""]","[""House Committee on Small Business"", ""House Committee on Ways and Means""]","[""Economic Growth, Tax, and Capital Access"", ""Oversight"", ""Oversight, Investigations, and Regulations"", ""Tax"", ""Trade"", ""Work and Welfare""]",https://vanduyne.house.gov
M001143,Betty McCollum,House,Democrat,MN,4,"[""Defense aerospace"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Environmental services"", ""Industrial pollution control"", ""Military drones"", ""Mining royalties"", ""Missile systems"", ""Specialty chemicals"", ""Specialty minerals"", ""Water treatment""]","[""Defense appropriations"", ""Environmental appropriations"", ""Federal appropriations"", ""Military procurement"", ""Public lands""]","[""House Committee on Appropriations""]","[""Defense"", ""Interior, Environment, and Related Agencies""]",https://mccollum.house.gov
F000454,Bill Foster,House,Democrat,IL,11,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Commercial aerospace"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges"", ""Semiconductors"", ""Space launch"", ""Space systems""]","[""AI in financial services"", ""Bank regulation"", ""Consumer financial protection"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Financial Services"", ""House Committee on Science, Space, and Technology""]","[""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Financial Institutions"", ""National Security, Illicit Finance, and International Financial Institutions""]",https://foster.house.gov
H001058,Bill Huizenga,House,Republican,MI,4,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges""]","[""AI in financial services"", ""Bank regulation"", ""Consumer financial protection"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy""]","[""House Committee on Financial Services"", ""House Committee on Foreign Affairs""]","[""Africa"", ""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Financial Institutions"", ""South and Central Asia""]",https://huizenga.house.gov
M001213,Blake D. Moore,House,Republican,UT,1,"[""Biotechnology"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Managed care"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals""]","[""Customs"", ""FDA policy"", ""Health insurance policy"", ""Health tax policy"", ""Medicare policy"", ""Public health policy"", ""Tariffs"", ""Trade policy""]","[""House Committee on Ways and Means"", ""House Committee on the Budget""]","[""Health"", ""Social Security"", ""Trade""]",https://blakemoore.house.gov
W000822,Bonnie Watson Coleman,House,Democrat,NJ,12,"[""Biotechnology"", ""Commercial aerospace"", ""Education services"", ""Health insurance"", ""Healthcare services"", ""Infrastructure construction"", ""Medical devices"", ""Medical diagnostics"", ""Multifamily residential REIT"", ""Pharmaceuticals"", ""Rail equipment"", ""Residential real estate"", ""Transportation infrastructure""]","[""Education appropriations"", ""Federal appropriations"", ""Health appropriations"", ""Housing policy"", ""Labor policy"", ""Transportation funding""]","[""House Committee on Appropriations"", ""House Committee on the Budget""]","[""Labor, Health and Human Services, Education, and Related Agencies"", ""Transportation, Housing and Urban Development, and Related Agencies""]",https://watsoncoleman.house.gov
F000475,Brad Finstad,House,Republican,MN,1,"[""Aerospace & defense"", ""Agriculture"", ""Aircraft manufacturing"", ""Animal nutrition"", ""Artificial intelligence"", ""Broad commodities"", ""Cloud computing"", ""Commercial banking"", ""Cryptocurrency exchange"", ""Cybersecurity"", ""Defense aerospace"", ""Defense electronics"", ""Defense software"", ""Defense systems"", ""Defense technology"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Food brands"", ""Futures-based commodity exposure"", ""Livestock health"", ""Military drones"", ""Military systems"", ""Packaged foods"", ""Risk management""]","[""Agricultural policy"", ""Agricultural risk management"", ""Agricultural trade"", ""Commodity markets"", ""Dairy policy"", ""Defense IT"", ""Defense cybersecurity"", ""Digital asset policy"", ""Farm credit"", ""Food policy"", ""Ground combat systems"", ""Livestock policy"", ""Military AI"", ""Military procurement"", ""National defense"", ""Nutrition policy"", ""Poultry policy"", ""Rural development"", ""Tactical aviation""]","[""House Committee on Agriculture"", ""House Committee on Armed Services"", ""House Committee on Small Business""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Cyber, Information Technologies, and Innovation"", ""General Farm Commodities, Risk Management, and Credit"", ""Livestock, Dairy, and Poultry"", ""Nutrition and Foreign Agriculture"", ""Oversight, Investigations, and Regulations"", ""Rural Development, Energy, and Supply Chains"", ""Tactical Air and Land Forces""]",https://finstad.house.gov
K000405,Brad Knott,House,Republican,NC,13,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Environmental services"", ""Infrastructure construction"", ""Passenger airlines"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Aviation safety"", ""Environmental infrastructure"", ""FAA policy"", ""Highway policy"", ""Infrastructure policy"", ""Public transit"", ""Transportation policy"", ""Water resources""]","[""House Committee on Ethics"", ""House Committee on Homeland Security"", ""House Committee on Transportation and Infrastructure"", ""House Committee on the Judiciary""]","[""Aviation"", ""Border Security and Enforcement"", ""Crime and Federal Government Surveillance"", ""Highways and Transit"", ""Immigration Integrity, Security, and Enforcement"", ""Oversight, Investigations, and Accountability"", ""Water Resources and Environment""]",https://knott.house.gov
